Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-0.043318,1.522415,2.951894,40.89196828058695,48.82472345223863,5.019919817817377,-0.334747,-0.372962,0.106872,-0.858733,0.698955,0.066147,-0.7121,0.433246,0.753045,0.495198,0.101235,1.245403,3.193674,-40.79387741802573,48.79770973218441,6.886175606310506,-0.29357,0.405549,0.194974,0.843405,0.59503,0.09077,-0.798561,-0.566998,0.751604,-0.337054,0.230319,1.108194,2.909613,-18.43499152103052,59.43129783704424,4.925393355208546,-0.117965,0.494821,0.116165,0.853078,0.483316,0.081452,-0.871649,-0.314938,0.94518,-0.086305,M,BuildTutorial
0.099,-0.044807,1.521765,2.949033,40.86960305894956,48.56307364837678,4.505838786043511,-0.333157,-0.372534,0.109885,-0.859157,0.698287,0.059408,-0.713348,0.437042,0.753863,0.490597,0.104626,1.241943,3.19053,-35.09365127846042,50.25536114238171,9.598423241122912,-0.238123,0.426296,0.199795,0.849501,0.556707,0.13643,-0.819429,-0.542474,0.806759,-0.234227,0.228798,1.100661,2.90348,-15.323567186726088,60.449027138056394,3.3887859059963192,-0.100399,0.502084,0.092406,0.853987,0.478746,0.05701,-0.876101,-0.258644,0.962762,-0.078687,M,BuildTutorial
0.124,-0.045269,1.5215,2.948317,40.8422688730151,48.450763077976696,4.362223259616943,-0.332596,-0.372151,0.110541,-0.859456,0.698569,0.057541,-0.713225,0.437562,0.754321,0.489427,0.10498,1.240053,3.189187,-34.45528578395837,50.24732047430768,8.69228747625068,-0.236647,0.42468,0.190918,0.852758,0.566395,0.124614,-0.814658,-0.526612,0.815097,-0.241448,0.227515,1.100551,2.90077,-15.789938372506128,60.99897560038457,2.0343405511046195,-0.109409,0.504742,0.084853,0.852095,0.476071,0.034159,-0.878743,-0.255053,0.961659,-0.100796,M,BuildTutorial
0.158,-0.045706,1.521062,2.947459,40.88366829214914,48.32692087274698,4.1888479812536,-0.33246,-0.371662,0.111625,-0.85958,0.698814,0.055224,-0.713169,0.439027,0.754021,0.488577,0.106456,1.238912,3.187664,-34.01356348105354,50.68970487649913,6.8319664980340615,-0.239472,0.424369,0.176475,0.855231,0.577534,0.098605,-0.81039,-0.505104,0.823019,-0.259827,0.226109,1.099723,2.900434,-15.817887961697474,60.73015384725391,3.236616577876665,-0.104536,0.503853,0.093665,0.85231,0.474719,0.054323,-0.87846,-0.265005,0.960598,-0.083807,M,BuildTutorial
0.191,-0.046006,1.520645,2.946289,41.03201901716412,48.34869815804424,4.152908344333484,-0.333421,-0.371704,0.112469,-0.859079,0.698374,0.054628,-0.713645,0.441108,0.752362,0.48926,0.108869,1.238647,3.183486,-34.400172511774734,53.74562395770758,1.7970122448423982,-0.256973,0.43588,0.14701,0.849919,0.576794,0.025874,-0.81648,-0.473912,0.824706,-0.308655,0.22456,1.098339,2.900921,-15.937556508657517,60.437456356494685,5.767152059586358,-0.094568,0.503838,0.112737,0.851173,0.466876,0.096623,-0.879028,-0.287211,0.956695,-0.047386,M,BuildTutorial
0.224,-0.046298,1.52032,2.945396,41.12001189965361,48.38863473186796,4.1331056718271,-0.333969,-0.371927,0.113037,-0.858695,0.697786,0.054296,-0.714246,0.442552,0.751375,0.489472,0.108807,1.242177,3.178342,-37.74710119759421,56.27279764402218,-3.1034644753003127,-0.297233,0.43833,0.129893,0.838241,0.58199,-0.04281,-0.812068,-0.478335,0.789561,-0.384434,0.223717,1.099009,2.898822,-16.60603703630944,60.81367470860979,4.987298549443351,-0.102637,0.505776,0.110152,0.849425,0.464113,0.08331,-0.881849,-0.290954,0.954665,-0.062939,M,BuildTutorial
0.258,-0.046468,1.520732,2.944529,41.004834804236935,48.3663509227547,4.057891268081788,-0.332894,-0.372154,0.113139,-0.859001,0.697401,0.053402,-0.714688,0.442149,0.752763,0.487701,0.107712,1.24664,3.170939,-41.95199823052296,59.297291867406955,-11.180418785948772,-0.354624,0.429395,0.097193,0.824873,0.612346,-0.144204,-0.777327,-0.464892,0.72959,-0.501571,0.22339,1.099246,2.897362,-16.883363989893226,61.06880220532198,4.980899357227464,-0.104488,0.507571,0.111535,0.847947,0.459863,0.083081,-0.884095,-0.295222,0.953284,-0.063977,M,BuildTutorial
0.291,-0.046638,1.521453,2.943522,40.80126001597758,48.43390403397805,4.023459725644204,-0.331207,-0.373068,0.112891,-0.859289,0.696152,0.053113,-0.715927,0.441137,0.755115,0.484974,0.105207,1.251172,3.163965,-45.155448000041865,62.69915154237846,-15.495305396461031,-0.389653,0.431798,0.091617,0.808287,0.610313,-0.188398,-0.769431,-0.484609,0.679553,-0.550783,0.223598,1.099027,2.896153,-17.05294461370433,61.361177249119535,5.211192052956089,-0.104441,0.509887,0.11424,0.846201,0.453929,0.086835,-0.886797,-0.299846,0.952083,-0.060256,M,BuildTutorial
0.325,-0.046648,1.523025,2.942381,40.30822516773433,48.782190706034214,4.041838820132277,-0.327271,-0.37637,0.112046,-0.859468,0.691582,0.05375,-0.720295,0.438951,0.760678,0.478217,0.103703,1.25218,3.158319,-46.16303480463587,65.87587109649884,-18.25964068217029,-0.404224,0.44166,0.087957,0.796118,0.594401,-0.217011,-0.774335,-0.497107,0.657733,-0.565926,0.223562,1.099097,2.894602,-17.59634076756309,61.86925027576353,5.077956674206525,-0.108564,0.513324,0.116101,0.843346,0.446038,0.08437,-0.891029,-0.307285,0.949469,-0.063919,M,BuildTutorial
0.358,-0.046415,1.524944,2.940524,39.59375240022612,49.38255077514671,4.2973698074637685,-0.322241,-0.381227,0.109328,-0.859578,0.685427,0.057741,-0.725849,0.433646,0.768417,0.470624,0.103855,1.250571,3.155254,-44.91200801004098,66.88265901142071,-19.512154678572628,-0.400431,0.447919,0.076776,0.795694,0.586949,-0.236541,-0.7743,-0.480902,0.667521,-0.568463,0.223564,1.098218,2.893394,-17.500620235302044,61.696522679452464,4.932703946733648,-0.108677,0.511949,0.114449,0.844393,0.449619,0.082006,-0.889448,-0.304554,0.950182,-0.066347,M,BuildTutorial
