Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,0.088682,1.538438,2.673635,46.74335122478078,-5.603447462567226,-2.858956824128225,-0.397216,0.034971,0.003488,-0.917052,0.99753,-0.034179,0.06137,-0.021385,0.684414,0.72878,0.018637,1.256359,2.909217,-33.02363885013824,-0.9455657040057264,16.65026499761637,-0.282354,0.033322,0.136494,0.948965,0.960518,0.240239,-0.140322,-0.277873,0.803291,-0.526792,0.201677,1.197256,2.931143,-5.876575633440743,19.858438085541092,-68.62747056495962,-0.138781,0.113771,-0.54725,0.817505,0.375147,-0.926337,-0.034121,0.86318,0.362515,-0.351431,M,BuildTutorial
0.099,0.088256,1.529794,2.67268,49.94640337987624,-6.560559205990579,-4.281341447962067,-0.423146,0.03609,0.009664,-0.905291,0.997208,-0.04804,0.057164,-0.013045,0.641708,0.766838,0.023045,1.318623,2.901806,-28.940686594492114,-2.3709627140599023,26.58297292776627,-0.247739,0.03794,0.217533,0.943327,0.90248,0.391611,-0.179363,-0.429208,0.782609,-0.450892,0.190851,1.320553,2.912824,-25.88348922067804,20.04900773515756,-59.67489513966735,-0.275713,0.037431,-0.443683,0.851896,0.603489,-0.776584,0.180884,0.735303,0.454256,-0.502973,M,BuildTutorial
0.125,0.088612,1.528145,2.672495,50.39688654075778,-6.614930807178722,-4.58065324517337,-0.426792,0.035176,0.011556,-0.903591,0.997258,-0.05091,0.053706,-0.009142,0.635429,0.772105,0.025946,1.335911,2.900275,-26.02591947332191,-1.2844483137305265,29.648881081918223,-0.220457,0.047051,0.246832,0.942475,0.873721,0.44452,-0.197521,-0.486011,0.780946,-0.392323,0.184946,1.361263,2.901956,-33.08112777050847,19.471644185784793,-56.07281966952723,-0.323862,0.011196,-0.401599,0.856567,0.677187,-0.695244,0.240945,0.68074,0.467664,-0.563811,M,BuildTutorial
0.158,0.089008,1.527619,2.67188,50.65367590134627,-6.582196523885781,-4.812908963373274,-0.428878,0.033913,0.013353,-0.902627,0.997343,-0.053195,0.049769,-0.004984,0.631772,0.775139,0.029443,1.350414,2.898451,-24.331789251186763,0.1454373670409001,33.16094225367208,-0.201626,0.061327,0.279209,0.936818,0.836563,0.498406,-0.227496,-0.547867,0.762779,-0.343527,0.185132,1.392739,2.890574,-37.90395534912525,21.057812798393773,-62.08255351030791,-0.3627,-0.016576,-0.428643,0.827309,0.631982,-0.697215,0.338365,0.721264,0.369428,-0.585919,M,BuildTutorial
0.192,0.089414,1.528159,2.671361,50.407153306913,-6.355656772405934,-4.866034226986412,-0.426927,0.032063,0.014766,-0.903597,0.997508,-0.054062,0.045337,-0.000693,0.63503,0.772487,0.033373,1.361611,2.897307,-23.768097602855136,1.903965617116756,37.20846041082808,-0.189957,0.081098,0.315391,0.926212,0.787904,0.553427,-0.27005,-0.615048,0.72889,-0.300726,0.182435,1.418613,2.880755,-42.3825110772752,21.945297093284765,-63.74505984432248,-0.395077,-0.036673,-0.424894,0.813655,0.636241,-0.662457,0.395409,0.720411,0.32676,-0.611749,M,BuildTutorial
0.225,0.089983,1.528977,2.670614,49.92554782549012,-6.006052075512419,-4.731608638785485,-0.423051,0.030057,0.015281,-0.905478,0.997726,-0.053105,0.041503,0.002242,0.641588,0.767046,0.038867,1.371376,2.896257,-23.849479482879985,3.9507063320011016,35.8901390666149,-0.186067,0.09571,0.308053,0.928075,0.791886,0.536175,-0.29229,-0.607409,0.740965,-0.2864,0.177277,1.44051,2.872555,-46.67733319172343,22.614169833012593,-59.75020500572483,-0.426525,-0.037402,-0.381125,0.819403,0.70669,-0.592684,0.386413,0.656496,0.345641,-0.670482,M,BuildTutorial
0.257,0.090537,1.529667,2.669293,49.6658591731926,-5.670253867069547,-4.656576916320743,-0.420937,0.027811,0.016068,-0.906521,0.997937,-0.052546,0.036895,0.005719,0.645108,0.76407,0.042542,1.378679,2.896189,-24.44560518935877,4.202579974776424,35.32647303887912,-0.190724,0.098341,0.303741,0.928275,0.796141,0.526399,-0.298436,-0.601423,0.742731,-0.294349,0.173895,1.454306,2.867896,-48.90494991349821,23.486710265908588,-60.6058423864165,-0.443385,-0.044531,-0.376963,0.811989,0.711832,-0.57269,0.406598,0.651668,0.322617,-0.686474,M,BuildTutorial
0.291,0.091098,1.530338,2.667561,49.569363193704426,-5.298218188565472,-4.5221220061778,-0.420091,0.025408,0.01642,-0.906978,0.99817,-0.051133,0.032292,0.008439,0.646507,0.762861,0.044656,1.382948,2.897111,-25.29729170516329,3.491165581772718,35.173211634754516,-0.19966,0.094464,0.301036,0.92768,0.800907,0.520809,-0.295475,-0.596252,0.739026,-0.313566,0.168116,1.462196,2.866918,-50.32412287491531,22.72857670689035,-58.69456033654846,-0.450757,-0.048836,-0.36187,0.814544,0.73333,-0.545492,0.40579,0.633546,0.331735,-0.698979,M,BuildTutorial
0.325,0.091625,1.531112,2.666104,49.305686247334,-4.891968027714129,-4.269821428259722,-0.417895,0.023236,0.016037,-0.908057,0.998406,-0.048546,0.028796,0.009705,0.650214,0.759689,0.047532,1.38602,2.898276,-27.543470703746408,3.2448111150376735,31.554892550049303,-0.221517,0.091164,0.270465,0.932453,0.837076,0.464003,-0.289837,-0.54478,0.755558,-0.363795,0.158975,1.466793,2.867835,-52.33320438031848,20.827855211348307,-51.524908437621136,-0.461122,-0.042404,-0.311883,0.829637,0.801862,-0.478392,0.357993,0.556607,0.380191,-0.738677,M,BuildTutorial
0.357,0.09216,1.532019,2.664907,48.95199077956623,-4.41709254240333,-3.9657150351857746,-0.41497,0.020728,0.015511,-0.909467,0.99866,-0.045416,0.02483,0.01101,0.655119,0.755446,0.050862,1.3884,2.898916,-30.717273499596825,3.767540850906871,25.978056496771615,-0.250819,0.090386,0.225104,0.937149,0.882317,0.376571,-0.282332,-0.467253,0.772836,-0.429417,0.149329,1.466648,2.870781,-53.68087553243361,16.778096361465376,-44.016970113022154,-0.462909,-0.046699,-0.269722,0.84308,0.850138,-0.411561,0.328455,0.49803,0.42593,-0.755347,M,BuildTutorial
