Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-0.232994,1.499988,2.641776,11.71193568524393,5.936274099656306,0.6910481307391217,-0.1022,-0.050895,-0.000708,-0.993461,0.994818,0.01181,-0.100979,0.008995,0.979109,0.203136,-0.346428,1.086806,2.89998,2.801826754324251,-6.433075272396358,17.124921764631637,0.015786,-0.059102,0.149965,0.986797,0.948035,0.294104,0.121378,-0.297836,0.954523,0.013429,-0.103371,1.073183,2.890826,-2.8290849633381376,20.45451770042876,-11.0365847870417,-0.04125,0.17434,-0.090244,0.979673,0.922923,-0.191203,-0.334147,0.162437,0.980309,-0.112289,F,BuildA
0.052,-0.233138,1.500069,2.641639,11.673132894760938,6.020394817360328,0.6596886540417561,-0.10185,-0.051656,-0.000379,-0.993458,0.994663,0.011276,-0.10256,0.009769,0.979253,0.202406,-0.345163,1.086859,2.899788,2.806169984560047,-6.119519745051214,17.144647584979857,0.016224,-0.05641,0.150093,0.986928,0.94858,0.294432,0.116215,-0.298093,0.954418,0.015091,-0.10295,1.068993,2.892171,-0.5544905368358223,21.0942842647688,-11.67678400686084,-0.023352,0.181609,-0.099122,0.978084,0.914386,-0.20238,-0.350628,0.185417,0.979259,-0.081682,F,BuildA
0.081,-0.233247,1.500155,2.641539,11.59412189790191,6.0601589088567245,0.6770683801316697,-0.101173,-0.051993,-0.000531,-0.993509,0.994593,0.011577,-0.103204,0.009465,0.979527,0.201089,-0.344779,1.086559,2.899799,2.894815258192014,-5.994725281111293,17.203012582908073,0.017123,-0.055458,0.150615,0.986887,0.948479,0.295381,0.11462,-0.29918,0.954044,0.017092,-0.101958,1.065501,2.892758,0.9853785573218498,21.571998717429704,-12.48718246221469,-0.011955,0.186943,-0.10843,0.976295,0.906591,-0.216188,-0.36243,0.207249,0.9762,-0.063884,F,BuildA
0.116,-0.233257,1.500384,2.641365,11.47857079575872,6.103696958786031,0.6390587179276789,-0.100154,-0.052415,-0.000217,-0.99359,0.994505,0.01093,-0.104114,0.010068,0.979938,0.199047,-0.344622,1.086029,2.899676,3.0265754388540507,-5.937727570717009,17.232395233017808,0.018319,-0.055142,0.150914,0.986838,0.948369,0.295836,0.114362,-0.299876,0.953779,0.019512,-0.101642,1.062286,2.892925,2.0734796839040137,21.66719296622196,-12.625350771169256,-0.003,0.188741,-0.111357,0.975688,0.903953,-0.218433,-0.367637,0.216168,0.975181,-0.04789,F,BuildA
0.148,-0.233306,1.500665,2.641222,11.306709764588028,6.117047715429063,0.5694336186481771,-0.098632,-0.052607,0.000318,-0.993733,0.994465,0.009745,-0.104617,0.01101,0.980543,0.195994,-0.344605,1.085409,2.899456,3.1622983081291576,-5.946680475153533,17.2644160497698,0.019461,-0.0554,0.151247,0.98675,0.94811,0.29633,0.11522,-0.300643,0.953491,0.021647,-0.101961,1.0602,2.892917,2.5566960864248256,21.25726650836653,-12.661537654758565,0.00146,0.18569,-0.112439,0.976153,0.905754,-0.218973,-0.362851,0.220058,0.974711,-0.038908,F,BuildA
0.181,-0.233368,1.500976,2.641114,11.133504763681122,6.109349008284172,0.4780587114346399,-0.097088,-0.052633,0.001023,-0.993883,0.994458,0.008187,-0.10482,0.012253,0.981146,0.19288,-0.344905,1.084918,2.899143,3.2791705254660544,-5.937786120742343,17.42254947696417,0.020403,-0.055503,0.152655,0.986509,0.947232,0.298925,0.115738,-0.303455,0.952561,0.023309,-0.10302,1.059792,2.892662,2.441017219906364,20.574802614310432,-12.369083576303057,0.001601,0.179764,-0.109757,0.977566,0.911277,-0.214014,-0.351814,0.215165,0.975902,-0.036331,F,BuildA
0.215,-0.233385,1.501127,2.641035,11.05635820377488,6.102134969088211,0.4063433182901093,-0.096386,-0.052637,0.001603,-0.99395,0.994454,0.00696,-0.104946,0.013334,0.981415,0.191436,-0.345283,1.084528,2.899016,3.354041264407685,-5.919868941599266,17.34341721220977,0.02111,-0.055432,0.152001,0.986599,0.947646,0.297588,0.115796,-0.302268,0.9529,0.024803,-0.103861,1.060341,2.892096,2.0695885402376044,20.13726494693175,-12.31080707159428,-0.001064,0.175698,-0.108696,0.978424,0.914631,-0.213076,-0.343583,0.212328,0.976368,-0.040278,F,BuildA
0.248,-0.233377,1.501189,2.641012,11.026043689029695,6.11109403273394,0.3347975334010711,-0.09609,-0.052777,0.002217,-0.99397,0.994419,0.005736,-0.105343,0.014549,0.981524,0.190787,-0.345794,1.084157,2.898871,3.429097210647126,-6.002069820841981,17.325982418638723,0.021656,-0.056234,0.151897,0.986558,0.94753,0.297274,0.117536,-0.302145,0.952917,0.025646,-0.104427,1.06139,2.891493,1.6242359171689875,19.891597675196593,-12.223082301964055,-0.004505,0.173204,-0.107288,0.979015,0.916979,-0.211633,-0.338173,0.208512,0.976938,-0.045986,F,BuildA
0.281,-0.233442,1.501019,2.641111,11.112078181688975,6.15664222141905,0.3643753541328557,-0.096849,-0.053141,0.002039,-0.993877,0.994344,0.006241,-0.106026,0.014346,0.981232,0.192295,-0.346534,1.084101,2.89896,3.3730468782433864,-6.140600939531216,17.283198725293783,0.021011,-0.057346,0.151531,0.986564,0.9475,0.29658,0.119519,-0.3014,0.953194,0.024079,-0.104291,1.063119,2.890774,1.1353923554561232,19.951293356797063,-13.151043672472989,-0.010142,0.173199,-0.114481,0.978158,0.913793,-0.227475,-0.336509,0.220448,0.973582,-0.059497,F,BuildA
0.315,-0.233611,1.500661,2.641273,11.32319494723822,6.210404045963534,0.5230952557758485,-0.098753,-0.053455,0.000808,-0.993675,0.994284,0.008952,-0.106394,0.012163,0.980495,0.19617,-0.346976,1.084041,2.899173,3.349712177587061,-6.179521048753426,17.206750902391068,0.020797,-0.057637,0.15087,0.986653,0.947833,0.295315,0.120011,-0.30011,0.953612,0.023648,-0.10355,1.065471,2.890184,0.3939280099165865,20.2759939885453,-14.10634526327916,-0.018255,0.175102,-0.121473,0.976857,0.909167,-0.243716,-0.337664,0.23093,0.969822,-0.078206,F,BuildA
