Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,0.327524,1.694998,2.669184,5.2887417138027635,-1.0175744666561102,-2.8781883419724092,-0.046343,0.007709,0.024677,-0.998591,0.998663,-0.049999,0.013109,0.04857,0.994487,0.092936,0.250169,1.150378,2.899051,-14.450854133113005,5.3912698400032815,2.631128894847533,-0.12453,0.049529,0.028665,0.990564,0.99345,0.044453,-0.105263,-0.069124,0.967341,-0.243871,0.388343,1.159353,2.931545,-11.330014916131232,-2.567602465330052,-14.472011554040186,-0.095093,-0.034548,-0.127504,0.986664,0.965099,-0.245036,0.092424,0.258177,0.949401,-0.178839,M,BuildA
0.049,0.326494,1.681162,2.677947,12.557024894717683,-1.4833423888292656,-3.002807987782625,-0.109652,0.009997,0.024627,-0.993615,0.998587,-0.051132,0.014466,0.046747,0.97474,0.218397,0.24997,1.149044,2.898791,-13.814441361972069,5.139339780453272,1.9580074390513729,-0.119363,0.046555,0.022336,0.991507,0.994668,0.033179,-0.097651,-0.055406,0.970507,-0.234618,0.390013,1.159786,2.930567,-11.27857980106116,-2.2675156588313308,-14.264936727418837,-0.095041,-0.031737,-0.125468,0.987025,0.966501,-0.241647,0.086499,0.253712,0.95045,-0.179652,M,BuildA
0.082,0.325643,1.677366,2.681013,14.593576752590966,-1.6527272706997758,-2.6842502943259827,-0.127296,0.011327,0.021399,-0.991569,0.998828,-0.045322,0.017016,0.039554,0.966676,0.25293,0.249269,1.148879,2.897861,-13.806860038638186,5.0936373838363895,2.0926922736596203,-0.119252,0.046299,0.023451,0.991507,0.994613,0.035462,-0.097405,-0.057547,0.970458,-0.234307,0.390361,1.160445,2.929698,-11.534679940225129,-2.3358829234502916,-14.236134237883618,-0.097181,-0.032573,-0.125294,0.986811,0.966481,-0.240952,0.08864,0.253614,0.949715,-0.183636,M,BuildA
0.116,0.32461,1.67604,2.68355,15.281039350604592,-1.8401929990185952,-2.405059017286373,-0.133245,0.013122,0.018663,-0.990821,0.998959,-0.040481,0.02103,0.033487,0.963795,0.264533,0.248754,1.148437,2.896365,-13.9920894602836,5.133215264820387,1.9467580195809648,-0.120906,0.046508,0.022298,0.991323,0.99468,0.032963,-0.097601,-0.055455,0.969769,-0.23764,0.390726,1.160733,2.928458,-11.891706116276996,-2.356706333501366,-14.166606550470837,-0.100254,-0.033069,-0.124737,0.986558,0.966694,-0.23949,0.090259,0.252751,0.94878,-0.189563,M,BuildA
0.149,0.323634,1.678784,2.684544,14.213188533981333,-2.0952101950932525,-2.1313526993378926,-0.124011,0.015839,0.016191,-0.992022,0.998974,-0.036053,0.027409,0.028196,0.968718,0.246556,0.247906,1.146972,2.894809,-13.814757420438808,5.14294156168778,1.6718705297901173,-0.119481,0.046288,0.019864,0.991558,0.994926,0.028333,-0.096541,-0.050455,0.97066,-0.235105,0.391298,1.159659,2.927358,-11.783694603980903,-2.1735688669809257,-14.045138404387016,-0.099556,-0.031273,-0.123525,0.98684,0.967527,-0.237572,0.086319,0.250025,0.94966,-0.188765,M,BuildA
0.182,0.32315,1.68415,2.684801,11.767981682633074,-2.3011197758565007,-2.0001362073564466,-0.102827,0.018182,0.0153,-0.994416,0.998871,-0.034168,0.033014,0.02669,0.978385,0.205062,0.246487,1.144276,2.893523,-13.316311486995138,4.894673639930804,2.0663994995880137,-0.115056,0.044495,0.022844,0.992099,0.994997,0.035089,-0.093544,-0.055567,0.972481,-0.226261,0.392179,1.157334,2.926526,-11.39711216771114,-1.853329147206555,-14.443807895131116,-0.096471,-0.028446,-0.126668,0.986833,0.966292,-0.244512,0.080582,0.255488,0.949297,-0.183196,M,BuildA
0.215,0.323183,1.689404,2.683541,9.338727644373796,-2.3502347493095903,-1.9770442920507392,-0.081729,0.019033,0.015522,-0.996352,0.998794,-0.034041,0.03539,0.027819,0.986159,0.163453,0.24558,1.140471,2.892423,-12.484143721979178,4.600669279011995,2.117192850557866,-0.107886,0.0419,0.022714,0.99302,0.995457,0.036071,-0.088116,-0.054152,0.975689,-0.212363,0.393004,1.154011,2.925956,-10.723527336457646,-1.5355377499570728,-14.576994513865207,-0.090988,-0.025087,-0.127541,0.987332,0.966208,-0.247286,0.072748,0.256417,0.950909,-0.173272,M,BuildA
0.249,0.323663,1.693512,2.681686,7.215125477000732,-2.258343277506805,-2.2744366721278375,-0.063288,0.018415,0.018564,-0.997653,0.998633,-0.039372,0.034393,0.034711,0.9913,0.126963,0.245262,1.136526,2.891909,-11.44148878081229,4.425351980491615,2.0601181508979125,-0.098899,0.040201,0.021722,0.994048,0.995824,0.035234,-0.084221,-0.051138,0.979494,-0.194875,0.392724,1.149891,2.926015,-9.66197982496708,-1.4898542650199116,-14.341252581308716,-0.081934,-0.023365,-0.125457,0.988434,0.96743,-0.244182,0.066747,0.25184,0.955095,-0.15611,M,BuildA
0.282,0.32479,1.69655,2.679624,5.5252378783478155,-2.050245279316263,-2.508268484679403,-0.04857,0.016811,0.020996,-0.998458,0.998553,-0.043559,0.031532,0.040293,0.9944,0.097695,0.245149,1.133484,2.891631,-10.70473200652887,4.286710152118144,2.408936070686058,-0.092412,0.039188,0.024402,0.99465,0.995738,0.0413,-0.082466,-0.055785,0.981729,-0.181922,0.392162,1.146811,2.926346,-8.824020779016646,-1.6606519640687596,-14.844517367326386,-0.074409,-0.024264,-0.12989,0.988435,0.96508,-0.253165,0.067298,0.260387,0.955184,-0.140794,M,BuildA
0.316,0.326141,1.698185,2.677584,4.418608036896391,-1.6989978813617517,-2.6491475461563,-0.038878,0.01392,0.022525,-0.998893,0.998598,-0.046083,0.026058,0.043919,0.995962,0.078298,0.244459,1.132554,2.892256,-10.502092569868974,4.2462773360463695,2.5895981693125463,-0.0906,0.038949,0.025876,0.994789,0.995627,0.044424,-0.082181,-0.058539,0.982244,-0.17824,0.391451,1.145824,2.926911,-8.721214871924,-1.912719151149479,-14.923070306868352,-0.073218,-0.026374,-0.130725,0.98836,0.964431,-0.254545,0.071276,0.26227,0.9551,-0.137837,M,BuildA
