Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-0.036194,1.531807,2.415519,4.790816018266081,4.954704641380858,1.3060371965471844,-0.042246,-0.042708,-0.00957,-0.998148,0.996169,0.022714,-0.08445,-0.015497,0.996247,0.085152,-0.121167,1.217397,2.682636,-41.96124011978148,6.206575769226784,0.7923866227334722,-0.357169,0.053018,0.02583,0.932176,0.993044,0.010283,-0.117296,-0.086029,0.743526,-0.66315,0.055357,1.217514,2.693828,-38.84909044565655,-3.33325872462298,5.012155861848446,-0.333306,-0.012867,0.031556,0.942203,0.997677,0.068042,0.00321,-0.050887,0.775823,-0.628896,F,BuildB
0.05,-0.030795,1.525214,2.417825,8.603545401449455,9.287245324598407,2.4483604427542836,-0.076471,-0.079114,-0.015163,-0.993812,0.987022,0.042239,-0.15493,-0.018039,0.987844,0.154396,-0.115699,1.219239,2.681436,-42.452437028655915,6.62409036018885,1.7367024110177427,-0.360589,0.059326,0.035018,0.930178,0.990508,0.022361,-0.135621,-0.10793,0.737499,-0.666668,0.059931,1.220471,2.691263,-39.25403575986682,-2.9508319172048014,5.48052656935757,-0.33656,-0.008171,0.036377,0.940924,0.99722,0.073955,-0.00911,-0.062955,0.770809,-0.633949,F,BuildB
0.083,-0.029074,1.52368,2.419385,9.511672605530132,10.857932068818451,3.0215707147811317,-0.084995,-0.092077,-0.018315,-0.991949,0.982373,0.051987,-0.179558,-0.020682,0.984881,0.171994,-0.115777,1.219036,2.68139,-42.39168545234505,6.587390771852363,1.6948260889003957,-0.360128,0.0589,0.034537,0.930401,0.990676,0.021843,-0.134477,-0.10669,0.73823,-0.666059,0.060034,1.220409,2.691189,-39.23109693676437,-2.923779066068194,5.4657364094019965,-0.336362,-0.008003,0.036343,0.940997,0.99723,0.07378,-0.009387,-0.063013,0.77108,-0.633613,F,BuildB
0.116,-0.028188,1.522337,2.420831,10.308357481775396,11.93519196205358,3.5207492140451673,-0.092488,-0.100752,-0.021094,-0.990379,0.978808,0.060418,-0.195663,-0.023145,0.982002,0.187447,-0.113115,1.217619,2.680642,-42.21285203319434,6.8241275896490885,2.0895749862977446,-0.358391,0.062069,0.038409,0.930714,0.989345,0.027005,-0.143067,-0.115985,0.740161,-0.662352,0.06491,1.221405,2.688329,-39.33794776718916,-2.3330364484925923,5.878015600987902,-0.337056,-0.001891,0.041428,0.940571,0.99656,0.079206,-0.024369,-0.076657,0.769355,-0.634206,F,BuildB
0.15,-0.028252,1.520691,2.422289,11.198903649708267,12.538842722707706,3.9153815738792783,-0.100646,-0.105306,-0.023146,-0.989063,0.97675,0.066983,-0.203649,-0.024589,0.978669,0.203966,-0.113247,1.217528,2.680611,-42.20250321448744,6.80193303546901,2.104575818487689,-0.358306,0.061936,0.038457,0.930753,0.98937,0.027204,-0.142852,-0.115971,0.740275,-0.662226,0.064831,1.221352,2.688379,-39.32943193085762,-2.319844101860144,5.853467087560214,-0.336981,-0.001859,0.041268,0.940605,0.996587,0.078888,-0.024316,-0.076381,0.769481,-0.634086,F,BuildB
0.183,-0.028745,1.518627,2.423657,12.30538902561145,12.792594139736671,4.234840089004586,-0.110531,-0.106752,-0.024574,-0.987817,0.976,0.072148,-0.205471,-0.02495,0.974358,0.223615,-0.113474,1.213981,2.680637,-41.49476317877934,6.708776490598011,2.392397344818347,-0.352422,0.062088,0.040212,0.932913,0.989056,0.031267,-0.144189,-0.118792,0.748364,-0.652564,0.070186,1.221028,2.685204,-39.22338286085967,-1.4417284164137112,5.909627244918386,-0.335782,0.005465,0.044337,0.94088,0.996009,0.079762,-0.040058,-0.087101,0.77057,-0.631376,F,BuildB
0.216,-0.029638,1.516562,2.424903,13.434333533426182,12.847574350286385,4.549938191602905,-0.120553,-0.106412,-0.026099,-0.986642,0.975991,0.077157,-0.203688,-0.025844,0.969572,0.24344,-0.113534,1.213967,2.680668,-41.48462231973952,6.689587466211943,2.388858749229412,-0.352348,0.061921,0.04012,0.932956,0.989112,0.031224,-0.143812,-0.118496,0.748482,-0.652483,0.070205,1.221019,2.685195,-39.21974031297456,-1.4234183594780367,5.891652486383601,-0.335746,0.005561,0.044244,0.940897,0.996023,0.079525,-0.040173,-0.086992,0.770634,-0.631312,F,BuildB
0.25,-0.030626,1.515063,2.426359,14.1905944814182,12.791719172623123,4.729605276848203,-0.127208,-0.105385,-0.026943,-0.985894,0.976336,0.079937,-0.200942,-0.026314,0.966185,0.256505,-0.115939,1.210016,2.681748,-40.460837767842534,6.15063439172526,2.6069974132251827,-0.344064,0.058181,0.039861,0.936294,0.990052,0.034608,-0.136378,-0.114679,0.760062,-0.639652,0.075615,1.219751,2.681679,-39.00311878057495,-0.1727407065384305,5.5390608090836855,-0.333511,0.014711,0.045044,0.941555,0.995509,0.075011,-0.057749,-0.094636,0.773484,-0.626712,F,BuildB
0.283,-0.031355,1.514409,2.427713,14.519462865468608,13.015998245434911,4.940011840052826,-0.130282,-0.106918,-0.028166,-0.985293,0.97555,0.083363,-0.203352,-0.027645,0.964467,0.262755,-0.118711,1.207128,2.682601,-39.65453173299243,5.5249553054066185,3.052088032991587,-0.337464,0.054345,0.041365,0.938858,0.990671,0.040993,-0.129963,-0.114351,0.768814,-0.629165,0.080648,1.217779,2.677632,-38.72965252258913,1.152823973672242,5.300112609769395,-0.330772,0.024811,0.04695,0.942216,0.99436,0.072061,-0.077814,-0.104888,0.776771,-0.620987,F,BuildB
0.317,-0.030869,1.514364,2.428575,14.51160141205696,14.152384040332738,5.342956762111366,-0.130897,-0.116228,-0.030342,-0.984092,0.971141,0.090146,-0.220815,-0.02929,0.963891,0.264682,-0.118588,1.207401,2.682372,-39.76279206963824,5.517870067877573,3.005651551602946,-0.338376,0.054158,0.040998,0.938556,0.990772,0.040306,-0.129406,-0.113609,0.767642,-0.630728,0.080617,1.217671,2.677616,-38.71846935827108,1.1795387551039502,5.29432192429893,-0.33067,0.02501,0.04698,0.942244,0.994335,0.071994,-0.078201,-0.105074,0.7769,-0.620794,F,BuildB
