Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,0.129884,1.629709,2.760749,7.123097928611573,4.562410479461528,2.019695474868535,-0.062762,-0.038627,-0.015104,-0.997166,0.99656,0.034971,-0.075139,-0.025274,0.991666,0.126336,0.169582,1.100262,2.991116,-4.5776050990921435,0.1367324152466984,-9.22744948794537,-0.039903,-0.002024,-0.080326,0.995968,0.987087,-0.159842,0.010443,0.160166,0.983911,-0.079159,0.09818,1.120268,3.019142,1.1715924960512678,-12.730732038093253,0.1776323432257803,0.009989,-0.110878,0.002674,0.99378,0.975398,0.0031,0.220431,-0.007531,0.999786,0.01926,M,BuildTutorial
0.106,0.127755,1.631041,2.762231,8.226450784679868,2.454876080656392,3.780505456950857,-0.072377,-0.018989,-0.031357,-0.996704,0.997312,0.065257,-0.033315,-0.059759,0.987557,0.145467,0.162542,1.100343,2.992563,-4.067971004478495,1.3028787568062976,-10.976328280603669,-0.036414,0.007916,-0.095172,0.994763,0.981759,-0.189924,-0.008818,0.188771,0.979233,-0.073953,0.092269,1.122363,3.019652,1.259126649604709,-11.75024022919176,-1.6167750041965758,0.012373,-0.10219,-0.012909,0.994604,0.978781,-0.028208,0.202958,0.023151,0.999361,0.027251,M,BuildTutorial
0.135,0.127787,1.63167,2.762212,8.090806516677455,1.3300925064089353,4.481699982914091,-0.070941,-0.008811,-0.038182,-0.996711,0.996929,0.077364,-0.012148,-0.074863,0.987019,0.142088,0.160288,1.101081,2.993147,-3.838772010514629,1.251065023461373,-11.499760688695831,-0.034416,0.007501,-0.09976,0.994388,0.979983,-0.198917,-0.008051,0.197884,0.977727,-0.069943,0.090306,1.123664,3.019561,1.3228097998418402,-11.82835995821556,-2.229178086948067,0.013484,-0.102789,-0.018158,0.994446,0.97821,-0.038886,0.203946,0.033342,0.998977,0.030551,M,BuildTutorial
0.168,0.127556,1.631435,2.761283,7.9483278556705566,0.3297623013781459,4.198720293418913,-0.069365,-0.00033,-0.036345,-0.996929,0.997358,0.072513,0.004384,-0.072421,0.987735,0.138327,0.157422,1.102797,2.993489,-4.284746699112942,0.457550596158323,-11.441258114302222,-0.037594,0.000244,-0.099459,0.994331,0.980216,-0.197809,0.006993,0.197772,0.977389,-0.07481,0.087083,1.125718,3.018694,0.9231745634053896,-12.508907651300326,-2.1746286061344064,0.010074,-0.108769,-0.017985,0.993853,0.975692,-0.037941,0.215838,0.033558,0.99915,0.023936,M,BuildTutorial
0.202,0.1268,1.630598,2.760467,7.921278070099215,-0.5352863843629632,3.5994367811358727,-0.06889,0.006827,-0.031653,-0.997099,0.997903,0.062181,0.017975,-0.064062,0.988505,0.136948,0.15456,1.104652,2.993725,-4.869714960916079,-0.4582527873503083,-11.079793816016013,-0.041899,-0.008078,-0.09662,0.994406,0.981199,-0.191482,0.024162,0.192836,0.977818,-0.081767,0.083947,1.127539,3.017299,0.4568514341455112,-13.371719276742736,-1.681925926087884,0.005668,-0.116354,-0.014113,0.993091,0.972525,-0.029349,0.230941,0.026711,0.999537,0.014542,M,BuildTutorial
0.235,0.125935,1.629622,2.759291,8.45672910215532,-0.9829911661221624,3.0657505448202653,-0.073474,0.010524,-0.027309,-0.996868,0.998287,0.0529,0.024995,-0.055993,0.987712,0.145912,0.151665,1.105976,2.993895,-5.597459457451685,-1.243145890621799,-10.787799420164015,-0.04759,-0.015377,-0.094412,0.994276,0.9817,-0.186279,0.039565,0.189206,0.977643,-0.091731,0.080549,1.129158,3.016057,-0.1952685738666331,-14.106426850403697,-1.2179264192051642,-0.000386,-0.122802,-0.010757,0.992373,0.969608,-0.021256,0.243739,0.021446,0.999768,0.001876,M,BuildTutorial
0.269,0.125728,1.628267,2.758479,8.618306155365648,-1.0135295429812656,2.5526731506598765,-0.07492,0.010491,-0.022875,-0.996872,0.998733,0.044035,0.024343,-0.047179,0.987727,0.148892,0.148734,1.106323,2.994428,-6.102287232823905,-1.8856407380993416,-10.502107903910415,-0.051493,-0.021233,-0.09225,0.994177,0.982078,-0.18124,0.05172,0.185613,0.977677,-0.098468,0.077205,1.129597,3.01503,-0.6186030381711699,-14.752988017398856,-0.8224811946551492,-0.004432,-0.128422,-0.007811,0.991679,0.966894,-0.014353,0.254775,0.016629,0.999839,-0.006783,M,BuildTutorial
0.302,0.125097,1.627174,2.757688,9.134694504606262,-1.0052340450649206,2.2253928333913917,-0.079443,0.010289,-0.020055,-0.996585,0.998984,0.038338,0.023694,-0.041607,0.986573,0.157931,0.145296,1.106073,2.995305,-6.305612572099289,-2.6082819929192476,-9.752904844337737,-0.052854,-0.027317,-0.086104,0.994508,0.98368,-0.168374,0.063436,0.174149,0.979585,-0.100423,0.073963,1.128813,3.01377,-0.6639600418715892,-15.407500503397994,-0.0425883176910658,-0.005692,-0.134051,-0.001145,0.990958,0.964058,-0.000744,0.26569,0.003795,0.999933,-0.010973,M,BuildTutorial
0.335,0.124638,1.626432,2.757145,9.42025991026734,-0.8495012768872939,2.2570771162430967,-0.081951,0.009004,-0.020237,-0.99639,0.999019,0.038852,0.02126,-0.041803,0.985749,0.162946,0.142891,1.105389,2.996127,-6.140323996686405,-2.6541968292880966,-9.730824718684556,-0.05139,-0.027585,-0.085907,0.994595,0.983718,-0.168051,0.063701,0.173721,0.979958,-0.097486,0.071058,1.128444,3.013981,-0.5261801042712559,-15.483223434941824,-0.0143935801986347,-0.004533,-0.134705,-0.000743,0.990875,0.963708,-0.00025,0.266959,0.002693,0.999958,-0.008783,M,BuildTutorial
0.369,0.124559,1.625664,2.756243,9.978185613581378,-0.5566037803029029,2.2547857373573827,-0.086853,0.006549,-0.020023,-0.995998,0.999112,0.038747,0.016525,-0.041023,0.984111,0.172749,0.140967,1.104737,2.996504,-5.819670932138951,-2.46246560792826,-10.257998504127208,-0.048631,-0.025911,-0.090349,0.994385,0.982331,-0.177164,0.060319,0.182204,0.978944,-0.092034,0.068731,1.128494,3.013985,-0.3647337616292143,-15.382745982474928,-0.5533050357902378,-0.002508,-0.13385,-0.005211,0.990985,0.964114,-0.009656,0.265312,0.010998,0.999933,-0.003575,M,BuildTutorial
